what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"jvmwi3260sr9-20110324_78506",1533889388015
java.specification.name,sysinfo,,,"Java Platform API Specification",1533889388015
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1533889388015
java.specification.version,sysinfo,,,"1.6",1533889388015
java.vendor,sysinfo,,,"IBM Corporation",1533889388015
java.version,sysinfo,,,"1.6.0",1533889388015
java.vm.info,sysinfo,,,"JRE 1.6.0 IBM J9 2.4 Windows 7 x86-32 jvmwi3260sr9-20110324_78506 (JIT enabled, AOT enabled)\nJ9VM - 20110324_078506\nJIT  - r9_20101028_17488ifx3\nGC   - 20101027_AA",1533889388015
java.vm.name,sysinfo,,,"IBM J9 VM",1533889388015
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1533889388015
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1533889388015
java.vm.specification.version,sysinfo,,,"1.0",1533889388015
java.vm.vendor,sysinfo,,,"IBM Corporation",1533889388015
java.vm.version,sysinfo,,,"2.4",1533889388015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889390373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889396488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889399199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889400353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889401271
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1533889401394
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1533889401896
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1533889401897
